table_name,column_name,data_type,is_nullable,purpose,data_source,gap_status,coverage_note_as_of_2026_05_10,notes
regions,id,text,NO,Stable slug for URLs and parks.region_ids,Manual editorial,OK,43 rows; all active,
regions,name,text,NO,Display name in pickers,Editorial,OK,,
regions,short_name,text,NO,Compact UI label,Editorial,OK,,
regions,country,text,NO,Country grouping,Reference,OK,,
regions,country_code,text,NO,ISO 3166-1 alpha-2,Reference,OK,,
regions,continent,text,NO,Continent grouping for picker,Reference,OK,,
regions,flag_emoji,text,YES,Visual hint in UI,Reference,OPTIONAL_SPARSE,Most regions have emoji per seed,
regions,description,text,YES,One-line tagline,Editorial,OK,All regions have descriptions per gap analysis,
regions,is_active,boolean,NO,Hide from new trips when false,Operational,OK,All active,
regions,is_featured,boolean,NO,Landing grid prominence,Editorial,OK,18 featured,
regions,sort_order,int,NO,Picker ordering,Editorial,OK,,
regions,created_at,timestamptz,YES,Row creation audit,Operational,OK,,
regions,has_disney,boolean,NO,Disney parks present; AI branches,Derived/ops,OK,,
regions,has_universal,boolean,NO,Universal parks present,Derived/ops,OK,,
regions,data_quality_tier,text,NO,"light | standard | deep parity flag",Manual gate,OK,2 deep; 7 standard; 34 light,
regions,briefing_text,text,N/A,200-400 word AI Smart Plan narrative,Editorial sourced,NOT_IN_SCHEMA,Column planned (P6); not in production — see data-dictionary.md,
parks,id,text,NO,Stable slug for assignments,Manual editorial,OK,351 catalogue rows (+ custom tiles),
parks,name,text,NO,Display name,Editorial,OK,,
parks,icon,text,YES,Tile emoji or short string,Reference,OPTIONAL_SPARSE,Default acceptable; parity asks icons on headline parks,
parks,bg_colour,text,NO,Tile background hex,Editorial,OK,,
parks,fg_colour,text,NO,Tile foreground hex,Editorial,OK,,
parks,park_group,text,NO,Filter bucket (disney universal seaworld etc),Reference,OK,,
parks,region_ids,text[],NO,Regions this tile appears in,Manual,OK,,
parks,destinations,destination[],NO,Legacy enum array; backwards compatibility,Migration,LEGACY_RETAINED,Retained for compatibility; prefer region_ids,
parks,country,text,YES,ISO country name,Backfill,OPTIONAL_SPARSE,Parity: all headline parks should have country,
parks,latitude,numeric,YES,Map + travel-time calcs,Sourced CSV,UNIVERSAL_DATA_GAP,0 / 351 catalogue parks populated,
parks,longitude,numeric,YES,Map + travel-time calcs,Sourced CSV,UNIVERSAL_DATA_GAP,0 / 351 catalogue parks populated,
parks,official_url,text,YES,Operator website,Sourced CSV,UNIVERSAL_DATA_GAP,0 / 351 catalogue parks populated,
parks,affiliate_hotel_query,text,YES,Booking.com search query,Editorial,OPTIONAL_SPARSE,Variable,
parks,affiliate_ticket_url,text,YES,Affiliate ticket deep link,Editorial,OPTIONAL_SPARSE,Variable; extract script counts these,
parks,is_custom,boolean,NO,User-created vs catalogue,Operational,OK,Catalogue extract excludes custom,
parks,created_by,uuid,YES,Owner for custom tiles,Operational,N_A_CUSTOM_ONLY,Null for catalogue rows,
parks,agency_id,uuid,YES,B2B agency owner,Operational,OPTIONAL_SPARSE,B2B; often unused,
parks,sort_order,int,YES,Order within region,Editorial,OK,,
parks,created_at,timestamptz,YES,Row creation audit,Operational,OK,,
parks,opens_at,text,YES,"Opening time HH:MM",Sourced CSV,UNIVERSAL_DATA_GAP,No catalogue park has hours_known-driven reliable hours yet; 0 meaningful fills,
parks,closes_at,text,YES,"Closing time HH:MM",Sourced CSV,UNIVERSAL_DATA_GAP,Same as opens_at,
parks,hours_known,boolean,NO,Whether opens_at/closes_at are reliable,Operational,OK,Defaults false; remains false until sourced,
parks,briefing_text,text,N/A,100-200 word park briefing for AI,Editorial sourced,NOT_IN_SCHEMA,Column planned (P6); not in production,
parks,areas,jsonb,N/A,Sub-areas (lands) optional,Structured import,NOT_IN_SCHEMA,Planned P4; use parks.areas or park_areas table TBD,
park_areas,(table),N/A,N/A,Fantasyland/Tomorrowland-style areas,Structured import,NOT_IN_SCHEMA,Planned P4; no table shipped,
park_must_dos,(field_or_table),N/A,N/A,Signature must-do rides for PDF surfacing,Editorial,NOT_IN_SCHEMA,Planned; no column/table shipped,
attractions,id,text,NO,Stable slug,Manual,OK,100 rows total,
attractions,park_id,text,NO,FK to parks.id,Manual,OK,,
attractions,name,text,NO,Ride/experience display name,Editorial,OK,,
attractions,category,text,NO,"ride | show | character_meet | experience",Reference,OK,DB check uses character_meet; docs sometimes say meet_greet — align naming,
attractions,height_requirement_cm,int,YES,Minimum rider height cm,Sourced,OPTIONAL_SPARSE,Filled where seeded,
attractions,thrill_level,text,NO,"gentle | moderate | thrilling | intense",Sourced,OK,,
attractions,is_indoor,boolean,NO,Wet-weather fallback signal,Sourced,OK,,
attractions,duration_minutes,int,YES,Ride duration,Sourced,OPTIONAL_SPARSE,,
attractions,skip_line_system,text,YES,Operator skip-line product id,Sourced/reference,OPTIONAL_SPARSE,Align with app enums vs skip_line_systems.id where used,
attractions,skip_line_tier,text,YES,Tier within system,Sourced/reference,OPTIONAL_SPARSE,,
attractions,skip_line_notes,text,YES,LL/Express specifics,Editorial,OPTIONAL_SPARSE,,
attractions,avg_wait_peak_minutes,int,YES,Peak wait estimate,Sourced,OPTIONAL_SPARSE,,
attractions,avg_wait_offpeak_minutes,int,YES,Off-peak wait estimate,Sourced,OPTIONAL_SPARSE,,
attractions,best_time_to_ride,text,YES,Strategy hint,Editorial,OPTIONAL_SPARSE,,
attractions,sort_order,int,NO,Order within park,Editorial,OK,,
attractions,is_seasonal,boolean,NO,Seasonal operation flag,Operational,OK,,
attractions,is_temporarily_closed,boolean,NO,Refurb/down flag,Operational,OK,,
attractions,closure_note,text,YES,Closure explanation,Editorial,OPTIONAL_SPARSE,,
attractions,tags,text[],NO,Feature tags roller_coaster etc,Editorial,OK,Defaults empty array,
attractions,official_url,text,YES,Ride-specific operator page,Reference,OPTIONAL_SPARSE,,
attractions,created_at,timestamptz,NO,Audit,Operational,OK,,
attractions,updated_at,timestamptz,NO,Audit,Operational,OK,,
attractions,single_rider_line,text,N/A,"yes | no | unknown — factual single-rider queue",Operator official sources,SCHEMA_RECOMMENDED,Not a DB column today; single-rider hints only in best_time_to_ride prose — fails machine validation; see data-dictionary-validated.md §4.3,
attractions,virtual_queue_mode,text,N/A,"none | boarding_group | paid_return | unknown",Operator official sources,SCHEMA_RECOMMENDED,Not a DB column today; VQ only in prose e.g. Cosmic Rewind — fails machine validation; see data-dictionary-validated.md §4.3,
_CROSS_CUTTING_,skip_line_id_drift,N/A,N/A,region_skip_line_systems uses lightning_lane; attractions seeds use disney_lightning_lane,N/A,CONCEPT_DRIFT,Cannot join region systems to attractions by equal string until normalized or mapping table; see data-dictionary-validated.md §2.3,
_CROSS_CUTTING_,attractions_per_park_coverage,N/A,N/A,How many catalogue parks have any attraction rows,N/A,REGIONAL_ONLY,12 parks have attractions; 339 catalogue parks have zero attraction rows,
_CROSS_CUTTING_,deep_tier_honesty,N/A,N/A,Deep tier still missing park coords hours URLs,N/A,DATA_GAP_VS_TIER,Even orlando/florida_combo deep tier lacks park lat/lon/url/hours; depth is mostly attraction seed,
skip_line_systems,id,text,NO,Primary key for system,SYSTEM_SEED,OK,Reference rows seeded in migration,
skip_line_systems,name,text,NO,Display label,SYSTEM_SEED,OK,,
skip_line_systems,description,text,YES,Explanation,SYSTEM_SEED,OK,,
skip_line_systems,parent_brand,text,YES,Brand grouping,SYSTEM_SEED,OK,,
skip_line_systems,created_at,timestamptz,NO,Audit,Operational,OK,,
region_skip_line_systems,region_id,text,NO,FK regions.id,Manual/seed,OK,,
region_skip_line_systems,skip_line_system_id,text,NO,FK skip_line_systems.id,Manual/seed,OK,46 mappings across regions per snapshot,
_VALIDATION_RULE_,R1_region_skip_map,N/A,N/A,Every regions.id has ≥1 region_skip_line_systems row,QA SQL/CI,TARGET_RULE,Enforced in spec; re-check after region adds,
_VALIDATION_RULE_,R2_disney_region_products,N/A,N/A,If has_disney then mapped skip_line_systems match market (US vs premier ids),Editorial QA,TARGET_RULE,Paris/Tokyo/Shanghai/HK must not be labelled US lightning_lane only in copy,
_VALIDATION_RULE_,R3_universal_region_products,N/A,N/A,If has_universal then mapped express id matches market (US vs Japan vs Singapore),Editorial QA,TARGET_RULE,,
_VALIDATION_RULE_,P1_park_hours_integrity,N/A,N/A,If parks.hours_known then opens_at and closes_at non-null HH:MM,Import validator,TARGET_RULE,DB already constrains HH:MM format when present,
_VALIDATION_RULE_,A1_ride_operator_match,N/A,N/A,Attraction skip_line_system must match park operator (no Universal express on Disney park rides),Import validator,TARGET_RULE,Requires reliable park_group/operator linkage,
_VALIDATION_RULE_,A3_single_rider_truth,N/A,N/A,Do not claim single rider unless single_rider_line=yes or provenance allows unknown,Content policy,TARGET_RULE,Blocked until column exists or manual audit,
